"1 - UInt32","2 - String","3 - UInt32","4 - String","5 - UInt32","6 - UInt32","7 - UInt32","8 - Byte","9 - Int16","10 - Int16","11 - Int16","12 - Int16","13 - Int16","14 - Int16","15 - Int16","16 - Int16","17 - Int16","18 - Int16","19 - Int16","20 - Int16","21 - Int16","22 - Byte","23 - Byte","24 - Byte","25 - Byte","26 - Byte","27 - Byte","28 - Byte","29 - Byte","30 - Byte","31 - Int16","32 - Int16","33 - Int16","34 - Int16","35 - Int16","36 - Int16","37 - Int16","38 - Int16","39 - Int16","40 - Int16","41 - Int16","42 - Int16","43 - Int16","44 - UInt32","45 - UInt32","46 - Int16","47 - Int16","48 - Int16","49 - Int16","50 - Int16","51 - Int16","52 - Int16","53 - Int16"
"0","","0","엘모라드","0","0","0","0","0","100","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","Upgrade","0","업그레이드기본형","0","0","0","5","0","100","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Upgrade","0","기본업2","0","0","0","5","4","100","0","0","1000","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","4","0","0"
"3","Upgrade","0","기본업3","0","0","0","5","8","100","0","0","2000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","8","0","0"
"4","Upgrade","0","기본업4","0","0","0","5","12","100","0","0","3000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","12","0","0"
"5","Upgrade","0","기본업5","0","0","0","5","16","100","0","0","4000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","16","0","0"
"6","Upgrade","0","기본업6","0","0","0","5","20","100","0","0","5000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","20","0","0"
"7","Upgrade","0","기본업7","0","0","0","5","26","100","0","0","6000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","24","0","0"
"8","Upgrade","0","기본업8","0","0","0","5","35","100","0","0","7000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","28","0","0"
"9","Upgrade","0","기본업9","0","0","0","5","48","100","0","0","8000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","32","0","0"
"10","Upgrade","0","기본업10","0","0","0","5","68","100","0","0","9000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","36","0","0"
"11","Agility","0","민첩1","0","0","0","5","0","100","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Agility","0","민첩2","0","0","0","5","4","100","0","0","1000","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","4","0","0"
"13","Agility","0","민첩3","0","0","0","5","8","100","0","0","2000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","8","0","0"
"14","Agility","0","민첩4","0","0","0","5","12","100","0","0","3000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","12","0","0"
"15","Agility","0","민첩5","0","0","0","5","16","100","0","0","4000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","16","0","0"
"16","Agility","0","민첩6","0","0","0","5","20","100","0","0","5000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","20","0","0"
"17","Agility","0","민첩7","0","0","0","5","26","100","0","0","6000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","24","0","0"
"18","Agility","0","민첩8","0","0","0","5","35","100","0","0","7000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","28","0","0"
"19","Agility","0","민첩9","0","0","0","5","48","100","0","0","8000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","32","0","0"
"20","Agility","0","민첩10","0","0","0","5","68","100","0","0","9000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","36","0","0"
"21","Salamander","0","화염저항1","0","0","0","5","0","100","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Salamander","0","화염저항2","0","0","0","5","4","100","0","0","1000","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","2","0","0","0","0","4","0","0"
"23","Salamander","0","화염저항3","0","0","0","5","8","100","0","0","2000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","4","0","0","0","0","8","0","0"
"24","Salamander","0","화염저항4","0","0","0","5","12","100","0","0","3000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","6","0","0","0","0","12","0","0"
"25","Salamander","0","화염저항5","0","0","0","5","16","100","0","0","4000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","8","0","0","0","0","16","0","0"
"26","Salamander","0","화염저항6","0","0","0","5","20","100","0","0","5000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","10","0","0","0","0","20","0","0"
"27","Salamander","0","화염저항7","0","0","0","5","26","100","0","0","6000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","12","0","0","0","0","24","0","0"
"28","Salamander","0","화염저항8","0","0","0","5","35","100","0","0","7000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","14","0","0","0","0","28","0","0"
"29","Salamander","0","화염저항9","0","0","0","5","48","100","0","0","8000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","16","0","0","0","0","32","0","0"
"30","Salamander","0","화염저항10","0","0","0","5","68","100","0","0","9000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","18","0","0","0","0","36","0","0"
"31","Light","0","능력치제한감소1","0","0","0","5","0","100","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-32","0","0"
"32","Light","0","능력치제한감소2","0","0","0","5","4","100","0","0","1000","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-28","0","0"
"33","Light","0","능력치제한감소3","0","0","0","5","8","100","0","0","2000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","-24","0","0"
"34","Light","0","능력치제한감소4","0","0","0","5","12","100","0","0","3000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","-20","0","0"
"35","Light","0","능력치제한감소5","0","0","0","5","16","100","0","0","4000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","-16","0","0"
"36","Light","0","능력치제한감소6","0","0","0","5","20","100","0","0","5000","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","-12","0","0"
